State,State_Code,Marathon Name,City,Finishers,Course Type,Elevation Gain (ft),Elevation Loss (ft)
Idaho,ID,Coeur d Alene Marathon,Coeur d' Alene,412,Rolling Hills,786,807
Idaho,ID,Famous Idaho Potato Marathon,Boise,280,Mostly Flat,297,304
Idaho,ID,Pocatello Marathon,Pocatello,251,Downhill,449,1962
Illinois,IL,Chicago Marathon,Chicago,54382,Flat,243,242
Illinois,IL,Illinois Marathon,Champaign-Urbana,895,Mostly Flat,456,483
Illinois,IL,Quad Cities Marathon,Moline,540,Mostly Flat,511,511
Indiana,IN,Indianapolis Monumental Marathon,Indianapolis,6674,Mostly Flat,302,302
Indiana,IN,Carmel Marathon,Carmel,1451,Mostly Flat,525,525
Indiana,IN,Mill Race Marathon,Columbus,211,Mostly Flat,-,-
Iowa,IA,Des Moines Marathon,Des Moines,1889,Rolling Hills,682,682
Iowa,IA,Des Moines St. Paddys Marathon,Des Moines,210,Rolling Hills,443,443
