State,State_Code,Marathon Name,City,Finishers,Course Type,Elevation Gain (ft),Elevation Loss (ft),Date
Colorado,CO,Boulderthon - Boulder Marathon,Boulder,1998,Hilly,836,824,09/27/2026
Colorado,CO,Colorado Marathon,Fort Collins,1081,Downhill,206,1336,05/03/2026
Colorado,CO,Steamboat Marathon,Steamboat Springs,302,Downhill,736,2142,06/07/2026
Colorado,CO,Aspen Valley Marathon,Basalt,222,Downhill,305,1644,07/19/2025
Connecticut,CT,Hartford Marathon,Hartford,1915,Rolling Hills,754,782,10/10/2026
Connecticut,CT,Savin Rock Marathon,West Haven,158,Rolling Hills,-,-,03/28/2026
Delaware,DE,Rehoboth Beach Marathon,Rehoboth Beach,980,Mostly Flat,261,253,12/05/2026
Delaware,DE,Coastal Delaware Running Festival Marathon,Rehoboth Beach,776,Mostly Flat,272,272,04/12/2026
Delaware,DE,Delaware Marathon,Wilmington,439,Rolling Hills,1025,1025,04/19/2026
Florida,FL,Walt Disney World Marathon,Orlando,13291,Flat,260,258,01/11/2026
Florida,FL,Miami Marathon,Miami,3251,Mostly Flat,254,253,01/25/2026
Florida,FL,Space Coast Marathon,Cocoa,940,Flat,262,259,11/22/2026
Florida,FL,Palm Beaches Marathon,West Palm Beach,886,Flat,88,88,12/14/2025
Florida,FL,Jacksonville Marathon,Jacksonville,703,Flat,219,220,12/13/2025
Georgia,GA,Atlanta Marathon,Atlanta,1941,Rolling Hills,1384,1362,02/28/2026
Georgia,GA,Classic City Marathon,Athens,354,Hilly,1130,1153,01/24/2026
Georgia,GA,Chickamauga Battlefield Marathon,Chickamauga,352,Rolling Hills,907,907,11/14/2026
Georgia,GA,Jekyll Island Marathon,Jekyll Island,303,Flat,245,244,01/18/2026
Georgia,GA,Silver Comet Marathon,Mableton,252,Rolling Hills,773,812,10/25/2025
Hawaii,HI,Honolulu Marathon,Honolulu,22745,Mostly Flat,457,455,12/13/2026
Hawaii,HI,Maui Marathon,Kaanapali,420,Mostly Flat,151,151,04/26/2026
Hawaii,HI,Maui Oceanfront Marathon,Maui,206,Mostly Flat,-,-,01/17/2027
Hawaii,HI,Big Island International Marathon,Hilo,139,Rolling Hills,-,-,03/15/2026
Hawaii,HI,Kona Marathon,Kailua-Kona,125,Rolling Hills,-,-,07/04/2026
Idaho,ID,Coeur d Alene Marathon,Coeur d' Alene,412,Rolling Hills,786,807,05/24/2026
Idaho,ID,Famous Idaho Potato Marathon,Boise,280,Mostly Flat,297,304,05/16/2026
Idaho,ID,Pocatello Marathon,Pocatello,251,Downhill,449,1962,09/05/2026
Idaho,ID,Boise Marathon,Boise,109,Mostly Flat,-,-,06/20/2026
Illinois,IL,Chicago Marathon,Chicago,54382,Flat,243,242,10/11/2026
Illinois,IL,Illinois Marathon,Champaign-Urbana,895,Mostly Flat,456,483,04/25/2026
Illinois,IL,Quad Cities Marathon,Moline,540,Mostly Flat,511,511,09/27/2026
Illinois,IL,Fox Valley Marathon,St. Charles,497,Mostly Flat,-,-,09/20/2026
Illinois,IL,Chicagoland Spring Marathon,Schaumburg,488,Mostly Flat,470,470,05/03/2026
Indiana,IN,Indianapolis Monumental Marathon,Indianapolis,6674,Mostly Flat,302,302,11/07/2026
Indiana,IN,Carmel Marathon,Carmel,1451,Mostly Flat,525,525,04/18/2026
Indiana,IN,Mill Race Marathon,Columbus,211,Mostly Flat,-,-,09/26/2026
Indiana,IN,Veterans Marathon,Columbia City,134,Rolling Hills,659,659,11/08/2025
Indiana,IN,Fort Wayne Marathon,Fort Wayne,109,Mostly Flat,-,-,04/26/2026
Iowa,IA,Des Moines Marathon,Des Moines,1889,Rolling Hills,682,682,10/18/2026
Iowa,IA,Des Moines St. Paddys Marathon,Des Moines,210,Rolling Hills,443,443,03/14/2026
Kansas,KS,Salina Crossroads Marathon,Salina,548,Mostly Flat,384,384,11/07/2026
Kansas,KS,Garmin Olathe Marathon,Olathe,454,Rolling Hills,891,891,04/25/2026
Kansas,KS,Prairie Fire Marathon,Wichita,382,Mostly Flat,361,362,10/11/2026
Kansas,KS,Gobbler Grind Marathon,Overland Park,219,Rolling Hills,593,593,11/22/2026
Kentucky,KY,Kentucky Derby Festival Marathon,Louisville,1328,Mostly Flat,501,508,04/25/2026
Kentucky,KY,Louisville Marathon,Louisville,418,Hilly,961,961,11/01/2026
Kentucky,KY,Horse Capital Marathon,Lexington,136,Rolling Hills,-,-,04/11/2026
Louisiana,LA,Louisiana Marathon,Baton Rouge,1477,Mostly Flat,436,436,01/17/2027
Louisiana,LA,Zydeco Marathon,Lafayette,165,Flat,-,-,03/08/2026
Maine,ME,Maine Marathon,Portland,1176,Rolling Hills,858,858,10/04/2026
Maine,ME,Maine Coast Marathon,Wells,913,Mostly Flat,770,764,05/03/2026
Maine,ME,Mount Desert Island Marathon,Bar Harbor,811,Hilly,-,-,10/18/2026
Maine,ME,Sugarloaf Marathon,Kingfield,383,Downhill,713,1285,05/17/2026
Maine,ME,Millinocket Marathon,Millinocket,167,Rolling Hills,-,-,12/06/2025
Maryland,MD,Baltimore Marathon,Baltimore,1961,Hilly,977,985,10/17/2026
Maryland,MD,Ocean City Running Festival Marathon,Ocean City,360,Flat,9,203,11/01/2025
Maryland,MD,B and A Marathon,Severna Park,312,Mostly Flat,-,-,03/29/2026
Maryland,MD,North Central Rail Trail Marathon,Sparks,287,Mostly Flat,409,554,11/28/2026
Maryland,MD,Salisbury Marathon,Salisbury,255,Rolling Hills,367,375,04/04/2026
Massachusetts,MA,Boston Marathon,Boston,28468,Downhill,815,1275,04/20/2026
Massachusetts,MA,Cape Cod Marathon,Falmouth,1162,Rolling Hills,446,446,10/11/2026
Massachusetts,MA,Baystate Marathon,Lowell,1140,Mostly Flat,507,511,10/18/2026
Massachusetts,MA,Hyannis Marathon,Hyannis,386,Mostly Flat,-,-,03/01/2026
Massachusetts,MA,New England Green River Marathon,Greenfield,348,Downhill,650,2115,08/23/2026
Michigan,MI,Detroit Free Press Marathon,Detroit,3569,Mostly Flat,388,397,10/18/2026
Michigan,MI,Bayshore Marathon,Traverse City,1618,Mostly Flat,371,371,05/23/2026
Michigan,MI,Grand Rapids Marathon,Grand Rapids,1158,Mostly Flat,776,776,10/18/2026
Michigan,MI,Charlevoix Marathon,Charlevoix,511,Mostly Flat,555,555,06/20/2026
Michigan,MI,Marquette Marathon,Marquette,448,Downhill,352,1162,09/05/2026
Minnesota,MN,Grandmas Marathon,Duluth,7542,Mostly Flat,557,685,06/20/2026
Minnesota,MN,Twin Cities Marathon,St. Paul,7002,Rolling Hills,576,495,10/04/2026
Minnesota,MN,Mankato Marathon,Mankato,381,Rolling Hills,908,889,10/17/2026
Minnesota,MN,Med City Marathon,Rochester,360,Mostly Flat,524,805,05/17/2026
Minnesota,MN,Lake Wobegon Trail Marathon,St. Joseph,335,Mostly Flat,290,412,05/09/2026
Mississippi,MS,Mississippi Gulf Coast Marathon,Biloxi,766,Flat,140,130,12/13/2026
Mississippi,MS,Mississippi River Marathon,Greenville,109,Mostly Flat,217,207,02/07/2026
Mississippi,MS,Mississippi Blues Marathon,Jackson,105,Rolling Hills,1193,1193,02/21/2026
Missouri,MO,Kansas City Marathon,Kansas City,1538,Hilly,1200,1200,10/17/2026
Missouri,MO,Greater St. Louis Marathon,St. Louis,1181,Rolling Hills,455,423,04/11/2026
Missouri,MO,MO Cowbell Marathon,St. Charles,503,Mostly Flat,-,-,11/08/2026
Missouri,MO,Bass Pro Shops Conservation Marathon,Springfield,476,Rolling Hills,764,780,11/01/2026
Montana,MT,Missoula Marathon,Missoula,1153,Mostly Flat,492,315,06/28/2026
